schedule_uuid,term_code,Avg_A rate,Var_A rate,start_time,end_time,mon,tues,wed,thurs,fri,sat,sun
1df5592a-9dcb-345a-bacf-a93fe3de8012,1182,1,0,960,1035,false,false,false,true,false,false,false
1fda9a15-95e3-3ce5-a90f-77550dd5f399,1182,1,0,1155,1305,false,false,true,false,false,false,false
227528fe-058a-3818-bb9d-d0248e3faab4,1182,1,0,800,915,false,false,false,false,true,false,false
22d4b859-26ac-3386-91a0-69305aaff0c0,1182,1,0,780,990,false,false,false,false,true,true,false
235fed4d-1c96-310e-966c-8ba61ed64738,1182,1,0,930,1020,true,false,false,false,false,false,false
23c14ee3-1f33-3129-ade0-a636e1237cc7,1182,1,0,690,840,false,false,true,false,false,false,false
23dc330c-7293-3d00-acef-0399646d796e,1182,1,0,1170,1290,true,false,false,false,false,false,false
248d24da-4d08-3b76-a07c-38307bf07107,1182,1,0,720,780,false,true,false,false,false,false,false
24da1c2b-03ff-3d89-9128-dd6e4266a3c6,1182,1,0,900,990,true,false,false,false,false,false,false
2504c029-97ab-30c9-9b15-09da7a7350cd,1182,1,0,960,1110,true,false,false,false,false,false,false
26adcbff-fa4a-3f5f-bf4c-9d466e96792d,1182,1,0,530,660,false,true,false,false,false,false,false
26b39cfd-2750-304b-a941-8874174ae780,1182,1,0,780,930,false,false,false,true,false,false,false
28b0d4d2-0e18-33d4-9976-43633f28746f,1182,1,0,595,650,true,false,false,false,false,false,false
2988521c-6291-3760-a7f2-9fc250817d93,1182,1,0,770,920,false,true,false,false,false,false,false
2a519c79-cf7d-325c-a8d3-ce1177d41bdd,1182,1,0,840,900,false,true,false,true,false,false,false
2a84fd54-281c-3afe-b441-9d744e688679,1182,1,0,960,1035,true,false,false,false,false,false,false
2aefaf7e-9d7c-36da-804a-4d7daa32d678,1182,1,0,865,990,false,true,false,false,false,false,false
2b577e00-6b4b-341f-b3d6-d1c5196cd56a,1182,1,0,570,670,false,false,true,false,false,false,false
2b9caad4-f9ab-3175-b5b2-d3387ad8ae80,1182,1,0,600,750,false,false,false,false,true,false,false
2be0d6e0-bbb6-39e6-961d-4616b64069b0,1182,1,0,975,1080,false,true,false,true,false,false,false
2be36df9-504b-3509-a460-0226a2629a96,1182,1,0,1020,1170,false,false,true,false,false,false,false
2c0ffb35-1f4d-3669-8aa0-639df68ef792,1182,1,0,1050,1170,false,true,false,false,false,false,false
2c10c663-33c4-38a6-9273-5f3b142470d2,1182,1,0,1035,1185,false,true,false,false,false,false,false
2c950a90-e139-3868-ba15-12817805a9b6,1182,1,0,675,750,false,true,false,true,false,false,false
2dbfdf85-c7ce-39d2-aa51-3d28d33ecf9e,1182,1,0,870,1020,false,false,true,false,false,false,false
2e6a5cd2-3e16-3a0d-8361-2038cbb246bf,1182,1,0,570,670,false,true,false,false,false,false,false
2edf5f45-366e-30d8-b699-35aa8a00a411,1182,1,0,1050,1140,false,false,false,true,false,false,false
2eeee952-efe4-3132-8bf5-6d14bb93015a,1182,1,0,705,780,true,false,true,false,false,false,false
2f72b530-86eb-3552-96c2-0468594c11b9,1182,1,0,860,980,false,true,false,false,false,false,false
2fdf8f63-b777-3804-90d9-ec2e0cc3f003,1182,1,0,930,1050,false,false,true,false,true,false,false
2ffed594-88d7-3819-94ee-98fb838cd4f6,1182,1,0,780,950,false,false,true,false,false,false,false
30162aca-407a-3d08-9055-55f246edc946,1182,1,0,525,645,false,true,false,true,false,false,false
3149bef7-7e35-34b9-ada8-7dadfab573fe,1182,1,0,825,990,true,false,true,false,false,false,false
31bb52e8-591a-3666-be8c-27dab8442ca6,1182,1,0,750,840,false,false,true,false,false,false,false
31d1d6a0-1e9a-357e-a9ac-ba76cb68386d,1182,1,0,660,760,false,true,false,true,false,false,false
3233f593-772b-3896-9d9c-a6c1ddd1bc52,1182,1,0,-1,-1,false,true,false,false,false,false,false
3280e892-3cd5-3398-952d-c621c002bb15,1182,1,0,510,690,false,true,false,false,false,false,false
32945574-5ddc-346e-8607-fdf5a334c21d,1182,1,0,1125,1180,false,true,false,false,false,false,false
32d96898-702e-39b1-a6d8-d4258362380e,1182,1,0,930,1080,false,true,false,false,false,false,false
33100077-0868-3683-8532-d040e1c39791,1182,1,0,720,885,false,false,false,true,false,false,false
33746952-819f-37ad-bc89-215dcc5d9b0d,1182,1,0,990,1140,false,false,false,true,false,false,false
